geiger_book	citation_context	cited_author	cited_title	ia_identifier	ia_url	access_status	redistribute_here	verification_note
To Advance Knowledge	2003 reissue introduction	Gerald Graff	Professing Literature: An Institutional History	professinglitera0000graf	https://archive.org/details/professinglitera0000graf	Open Library: Preview/search-inside	no	Exact IA record recovered from Open Library IA MARC source; bibliography pp. 263-304
To Advance Knowledge	2003 reissue introduction	Peter Novick	That Noble Dream: The Objectivity Question and the American Historical Profession	thatnobledreamob0000novi	https://archive.org/details/thatnobledreamob0000novi	Open Library: Preview Only	no	Exact IA identifier verified through Open Library
To Advance Knowledge	2003 reissue introduction	Ellen Condliffe Lagemann	An Elusive Science: The Troubling History of Education Research	elusivesciencetr0000lage	https://archive.org/details/elusivesciencetr0000lage	Open Library: Borrow/search-inside	no	Exact IA identifier verified through Open Library; controlled borrowing is not redistribution permission
To Advance Knowledge	2003 reissue introduction	Kenneth M. Ludmerer	Learning to Heal: The Development of American Medical Education	learningtoheal00kenn	https://archive.org/details/learningtoheal00kenn	Open Library: Preview/search-inside	no	Exact IA identifier verified through Open Library; bibliography pp. 281-333
To Advance Knowledge	2003 reissue introduction	Kenneth M. Ludmerer	Time to Heal: American Medical Education from the Turn of the Century to the Era of Managed Care			Open Library catalog record located; no exact IA identifier surfaced	no	Do not infer an IA scan from catalog presence; references pp. 401-494
To Advance Knowledge	2003 reissue introduction	Robert E. Kohler	Partners in Science: Foundations and Natural Scientists, 1900-1945	partnersinscienc00kohl	https://archive.org/details/partnersinscienc00kohl	Open Library: Preview Only	no	Exact IA record recovered from Open Library IA MARC source; includes bibliographical references
To Advance Knowledge	2003 reissue introduction	Ellen Condliffe Lagemann	The Politics of Knowledge: The Carnegie Corporation, Philanthropy, and Public Policy			Book/catalog references located; exact IA item not yet normalized	no	Do not guess from unrelated similarly titled IA records
To Advance Knowledge	2003 reissue introduction	David C. Mowery; Nathan Rosenberg	Technology and the Pursuit of Economic Growth			Open Library electronic-edition record located; exact IA scan not verified	no	No exact IA identifier verified in this pass
To Advance Knowledge	2003 reissue introduction	John P. Swann	Academic Scientists and the Pharmaceutical Industry: Cooperative Research in Twentieth-Century America			Bibliographic record located; exact IA item not yet normalized	no	Keep blank until exact edition/item is verified
To Advance Knowledge	2003 reissue introduction	Hugh Hawkins	Banding Together: The Rise of National Associations in American Higher Education, 1887-1950			Bibliographic record located; exact IA item not yet normalized	no	Keep blank until exact edition/item is verified
To Advance Knowledge	2003 reissue introduction	Lynn D. Gordon	Gender and Higher Education in the Progressive Era	genderhighereduc0000gord	https://archive.org/details/genderhighereduc0000gord	Open Library: Preview/Borrow	no	Exact IA identifier verified through Open Library; bibliography pp. 225-248
To Advance Knowledge	2003 reissue introduction	W. Bruce Leslie	Gentlemen and Scholars: College and Community in the Age of the University, 1865-1917	gentlemenscholar0000lesl	https://archive.org/details/gentlemenscholar0000lesl	Open Library: Preview Only	no	Exact IA identifier exposed by Open Library for Transaction edition
To Advance Knowledge	2003 reissue introduction	Ronald A. Smith	Sports and Freedom: The Rise of Big-Time College Athletics			Open Library catalog record located; exact IA identifier not verified	no	No exact IA book item verified in this pass
American Higher Education since World War II	direct note citation	Christopher Jencks; David Riesman	The Academic Revolution	academicrevoluti0000jenc_z2j0	https://archive.org/details/academicrevoluti0000jenc_z2j0	Open Library: Preview Only	no	Exact IA identifier verified from IA MARC source; 2002 Transaction reissue of 1968 book; bibliography pp. 545-558
American Higher Education since World War II	direct note citation	Rakesh Khurana	From Higher Aims to Hired Hands: The Social Transformation of American Business Schools and the Unfulfilled Promise of Management as a Profession	fromhigheraimsto0000khur	https://archive.org/details/fromhigheraimsto0000khur	Open Library: Preview Only	no	Exact IA identifier recovered from Open Library IA source record; 2007 Princeton edition
American Higher Education since World War II	direct note citation	Richard M. Freeland	Academia's Golden Age: Universities in Massachusetts, 1945-1970	academiasgoldena00free	https://archive.org/details/academiasgoldena00free	Open Library: Preview Only	no	Exact IA identifier recovered from Open Library; 1992 Oxford edition
American Higher Education since World War II	direct note citation	Andrew M. Greeley	From Backwater to Mainstream: A Profile of Catholic Higher Education	frombackwatertom0000gree	https://archive.org/details/frombackwatertom0000gree	Open Library: Borrow	no	Exact IA identifier recovered from IA MARC source; David Riesman wrote commentary; Carnegie Commission on Higher Education sponsored the book
American Higher Education since World War II	direct note citation	John Aubrey Douglass	The Conditions for Admission: Access, Equity, and the Social Contract of Public Universities	conditionsforadm0000doug	https://archive.org/details/conditionsforadm0000doug	Open Library: Preview Only	no	Exact IA identifier recovered from IA MARC source; bibliography pp. 293-322
American Higher Education since World War II	direct note citation	Claudia Goldin; Lawrence F. Katz	The Race between Education and Technology	racebetweeneduca0000gold_y5x7	https://archive.org/details/racebetweeneduca0000gold_y5x7	Open Library: Preview Only	no	Exact IA identifier verified through Open Library; controlled preview only
American Higher Education since World War II	direct note citation	Jerome Karabel	The Chosen: The Hidden History of Admission and Exclusion at Harvard, Yale, and Princeton	chosen00jero	https://archive.org/details/chosen00jero	Open Library: Borrow	no	Exact IA identifier verified through Open Library; controlled borrowing is not redistribution permission
American Higher Education since World War II	direct note citation	James E. Rosenbaum	Beyond College for All: Career Paths for the Forgotten Half	beyondcollegefor0000rose	https://archive.org/details/beyondcollegefor0000rose	Open Library: Preview Only	no	Exact IA identifier exposed in Open Library edition record; 2001 Russell Sage Foundation edition
American Higher Education since World War II	direct note citation	Steven Brint; Jerome Karabel	The Diverted Dream: Community Colleges and the Promise of Educational Opportunity in America, 1900-1985			Oxford book verified; exact IA item not yet normalized	no	Do not infer an IA identifier from topical matches; 1989 Oxford edition is all rights reserved
American Higher Education since World War II	direct note citation	Fabio Rojas	From Black Power to Black Studies: How a Radical Social Movement Became an Academic Discipline			Publisher and library records verified; exact IA item not yet normalized	no	2007 Johns Hopkins edition; bibliography pp. 237-271; leave IA identifier blank until exact item is proven
American Higher Education since World War II	direct note citation	Nancy Weiss Malkiel	Keep the Damned Women Out: The Struggle for Coeducation			Open Library work exists; exact IA item not yet normalized	no	Leave blank until exact item/edition is verified
