source_id	parent_id	depth	author_year	title	provenance	access_url	rights	bibliography_status	status	note
jones-2005-burden	stephan-2010-economics-of-science	1	Benjamin F. Jones (2005)	The Burden of Knowledge and the Death of the Renaissance Man	PUBLIC-PRECURSOR	https://www.nber.org/papers/w11360	PUBLIC-READ / DO-NOT-MIRROR	QUEUE	QUEUE	Accumulated knowledge lengthens training, narrows expertise, and pushes work toward teams.
wuchty-jones-uzzi-2007-teams	stephan-2010-economics-of-science	1	Stefan Wuchty; Benjamin F. Jones; Brian Uzzi (2007)	The Increasing Dominance of Teams in Production of Knowledge	PUBLIC-PRECURSOR	https://pubmed.ncbi.nlm.nih.gov/17431139/	PUBLIC-READ / DO-NOT-MIRROR	QUEUE	QUEUE	Large-scale evidence that team production became more prevalent and influential.
eisenberg-1987-proprietary-rights	stephan-2010-economics-of-science	1	Rebecca S. Eisenberg (1987)	Proprietary Rights and the Norms of Science in Biotechnology Research	PUBLIC-PRECURSOR	https://repository.law.umich.edu/facarticles/1220/	PUBLIC-READ / DO-NOT-MIRROR	QUEUE	QUEUE	Trade secrecy, patents, disclosure, and scientific norms.
heller-eisenberg-1998-anticommons	stephan-2010-economics-of-science	1	Michael Heller & Rebecca Eisenberg (1998)	Can Patents Deter Innovation? The Anticommons in Biomedical Research	PUBLIC-PRECURSOR	https://pubmed.ncbi.nlm.nih.gov/9563938/	PUBLIC-READ / DO-NOT-MIRROR	QUEUE	QUEUE	Fragmented upstream rights may impede downstream biomedical research.
walsh-cho-cohen-2005-bench	stephan-2010-economics-of-science	1	John P. Walsh; Charlene Cho; Wesley Cohen (2005)	View from the Bench: Patents and Material Transfers	PUBLIC-PRECURSOR		RIGHTS-UNKNOWN / DO-NOT-MIRROR	QUEUE	QUEUE	Empirical check on whether patents versus material-transfer barriers obstruct research.
walsh-cho-cohen-2007-excludability	stephan-2010-economics-of-science	1	John Walsh; Charlene Cho; Wesley Cohen (2007)	Where Excludability Matters: Material vs. Intellectual Property in Academic Biomedical Research	PUBLIC-PRECURSOR		RIGHTS-UNKNOWN / DO-NOT-MIRROR	QUEUE	QUEUE	Separates access to physical research materials from formal patent rights.
murray-2006-oncomouse	stephan-2010-economics-of-science	1	Fiona Murray (2006)	The Oncomouse that Roared	PUBLIC-PRECURSOR		RIGHTS-UNKNOWN / DO-NOT-MIRROR	QUEUE	QUEUE	Resistance and accommodation to patenting inside academic science.
bush-1945-endless-frontier	stephan-2010-economics-of-science	1	Vannevar Bush / U.S. OSRD (1945)	Science—The Endless Frontier	PUBLIC-PRECURSOR	https://archive.org/details/scienceendlessfr00unit_0	PUBLIC-DOMAIN / MIRROR-OK	APPENDIX-SOURCES IDENTIFIED	FOLLOWED	Federal work; full public-domain scans/text are available. Child source structure is committee reports rather than a conventional scholarly bibliography.
rosenberg-1990-basic-research	stephan-2010-economics-of-science	1	Nathan Rosenberg (1990)	Why Do Firms Do Basic Research (With Their Own Money)?	PUBLIC-PRECURSOR	https://www.sciencedirect.com/science/article/pii/0048733390900469	PAYWALLED / SUMMARY-ONLY	QUEUE	QUEUE	Firms fund basic research partly to build the competence needed to recognize and absorb external discoveries.
mansfield-1991-academic-research	stephan-2010-economics-of-science	1	Edwin Mansfield (1991)	Academic Research and Industrial Innovation	PUBLIC-PRECURSOR		RIGHTS-UNKNOWN / DO-NOT-MIRROR	QUEUE	QUEUE	Empirical estimate of industrial innovations drawing on recent academic research.
jaffe-1989-real-effects	stephan-2010-economics-of-science	1	Adam B. Jaffe (1989)	Real Effects of Academic Research	PUBLIC-PRECURSOR		RIGHTS-UNKNOWN / DO-NOT-MIRROR	QUEUE	QUEUE	Empirical links between university research and local industrial innovation.
jaffe-trajtenberg-henderson-1993	stephan-2010-economics-of-science	1	Adam Jaffe; Manuel Trajtenberg; Rebecca Henderson (1993)	Geographic Localization of Knowledge Spillovers as Evidenced by Patent Citations	PUBLIC-PRECURSOR	https://www.nber.org/papers/w3993	PUBLIC-READ / DO-NOT-MIRROR	QUEUE	QUEUE	Patent-citation evidence that some knowledge spillovers are geographically localized.
cohen-nelson-walsh-2002-links	stephan-2010-economics-of-science	1	Wesley Cohen; Richard Nelson; John Walsh (2002)	Links and Impacts: The Influence of Public Research on Industrial R&D	PUBLIC-PRECURSOR		RIGHTS-UNKNOWN / DO-NOT-MIRROR	QUEUE	QUEUE	Publications, meetings, informal exchange, and trained people as channels from public research to firms.
stokes-1997-pasteurs-quadrant	stephan-2010-economics-of-science	1	Donald E. Stokes (1997)	Pasteur's Quadrant	PUBLIC-PRECURSOR	https://openlibrary.org/books/OL659492M/Pasteur%27s_quadrant	CONTROLLED-LENDING / DO-NOT-MIRROR	QUEUE	QUEUE	Challenges a simple basic-versus-applied opposition with use-inspired basic research.
azoulay-graffzivin-manso-2009-creativity	stephan-2012-perverse-incentives	1	Pierre Azoulay; Joshua Graff Zivin; Gustavo Manso (2009/2011)	Incentives and Creativity: Evidence from the Academic Life Sciences	2012-COMPANION	https://www.nber.org/papers/w15466	PUBLIC-READ / DO-NOT-MIRROR	QUEUE	QUEUE	Long horizons and tolerance for early failure versus conventional project funding; novelty and high-impact output.
